patent,prim,patentclass,subclass
03930270,1,360,130.24
03930270,0,360,84
03930270,0,360,271.8
03930270,0,G9B,15.08
03930269,1,360,96.3
03930269,0,242,352.2
03930269,0,242,354.1
03930269,0,242,355.1
03930269,0,360,96.2
03930269,0,360,96.51
03930269,0,G9B,15.031
03930269,0,G9B,15.034
03930269,0,G9B,15.048
03930269,0,G9B,15.093
03930268,1,360,96.3
03930268,0,242,338
03930268,0,242,354.1
03930268,0,242,355.1
03930268,0,360,96.2
03930268,0,360,96.51
03930268,0,G9B,15.031
03930268,0,G9B,15.034
03930268,0,G9B,15.048
03930268,0,G9B,15.093
03930267,1,360,69
03930267,0,360,137
03930267,0,G9B,15.013
03930267,0,G9B,15.054
03930266,1,360,62
03930266,0,327,225
03930266,0,360,55
03930266,0,G9B,15.002
03930266,0,G9B,15.013
03930265,1,360,45
03930265,0,G9B,20.041
03930264,1,396,30
03930264,0,396,360
03930264,0,396,518
03930263,1,396,503
03930263,0,396,281
03930263,0,396,475
03930262,1,396,478
03930261,1,396,116
03930261,0,355,56
03930261,0,396,127
03930260,1,347,68
03930260,0,222,420
03930260,0,347,20
03930260,0,347,94
03930259,1,346,139R
03930259,0,33,1M
03930259,0,346,139B
03930258,1,347,7
03930258,0,137,408
03930258,0,177,118
03930258,0,347,74
03930258,0,347,89
03930257,1,347,154
03930257,0,347,112
03930256,1,341,118
03930256,0,327,306
03930256,0,327,321
03930256,0,340,825.37
03930256,0,341,126
03930255,1,341,133
03930255,0,257,222
03930255,0,257,224
03930255,0,257,E27.083
03930255,0,341,172
03930255,0,377,42
03930254,1,367,172
03930254,0,174,101.5
03930253,1,341,161
03930252,1,341,128
03930252,0,324,99D
03930251,1,345,467
03930251,0,178,15
03930251,0,178,30
03930251,0,315,365
03930251,0,396,549
03930251,0,396,550
03930250,1,345,471
03930250,0,327,144
03930249,1,340,571
03930249,0,250,215
03930249,0,340,600
03930248,1,340,680
03930248,0,100,99
03930248,0,340,501
03930248,0,340,683
03930248,0,700,146
03930248,0,700,177
03930248,0,702,71
03930247,1,340,628
03930247,0,340,634
03930246,1,340,511
03930246,0,340,505
03930246,0,340,516
03930246,0,340,521
03930246,0,340,531
03930246,0,340,533
03930246,0,340,539.1
03930246,0,340,539.16
03930246,0,340,566
03930246,0,340,691.5
03930246,0,340,691.8
03930245,1,340,870.02
03930245,0,340,870.19
03930245,0,340,870.27
03930244,1,365,3
03930244,0,365,8
03930244,0,365,11
03930244,0,365,29
03930244,0,365,36
03930244,0,365,37
03930243,1,365,25
03930243,0,365,32
03930243,0,365,33
03930243,0,365,36
03930242,1,365,30
03930242,0,365,29
03930242,0,365,33
03930242,0,365,39
03930242,0,365,42
03930241,1,365,34
03930241,0,365,32
03930240,1,365,117
03930240,0,365,215
03930239,1,365,240
03930238,1,713,600
03930237,1,715,234
03930237,0,382,113
03930237,0,382,229
03930237,0,382,305
03930236,1,712,245
03930236,0,712,E09.005
03930236,0,712,E09.006
03930236,0,712,E09.009
03930235,1,711,220
03930235,0,712,E09.019
03930235,0,712,E09.042
03930234,1,711,111
03930234,0,360,13
03930234,0,G9B,20.019
03930234,0,G9B,20.051
03930234,0,G9B,27.009
03930234,0,G9B,27.013
03930233,1,703,14
03930232,1,710,65
03930232,0,341,75
03930232,0,341,78
03930232,0,712,E09.021
03930231,1,382,207
03930231,0,382,205
03930230,1,382,134
03930230,0,377,10
03930230,0,377,11
03930230,0,382,170
03930230,0,382,199
03930229,1,382,188
03930229,0,382,226
03930229,0,382,314
03930228,1,382,178
03930227,1,340,473
03930227,0,40,479
03930227,0,116,43
03930226,1,340,430
03930225,1,340,466
03930225,0,340,670
03930224,1,340,448
03930224,0,73,146.5
03930224,0,200,61.25
03930224,0,340,522
03930224,0,340,626
03930224,0,340,671
03930223,1,340,442
03930223,0,73,146.5
03930222,1,340,452
03930222,0,200,82D
03930222,0,303,9.63
03930222,0,340,614
03930221,1,340,451
03930221,0,123,198D
03930221,0,137,557
03930221,0,340,611
03930220,1,367,82
03930220,0,175,50
03930220,0,367,2
03930220,0,455,20
03930219,1,367,177
03930219,0,52,508
03930219,0,52,574
03930219,0,52,DIG4
03930219,0,114,253
03930219,0,280,480
03930218,1,367,188
03930218,0,174,561
03930217,1,367,27
03930217,0,181,103
03930216,1,367,13
03930216,0,73,1.85
03930216,0,367,185
03930215,1,337,407
03930215,0,337,409
03930214,1,337,72
03930214,0,200,529
03930214,0,335,26
03930214,0,337,70
03930213,1,337,70
03930213,0,335,27
03930212,1,335,284
03930212,0,198,381
03930212,0,221,171
03930212,0,335,250
03930212,0,335,281
03930212,0,335,282
03930212,0,335,299
03930211,1,335,6
03930211,0,200,244
03930211,0,200,246
03930211,0,335,133
03930211,0,335,196
03930210,1,333,182
03930210,0,248,27.1
03930210,0,439,557
03930209,1,333,23
03930209,0,327,285
03930209,0,327,553
03930209,0,333,138
03930208,1,333,14
03930208,0,330,132
03930208,0,330,134
03930208,0,455,72
03930207,1,330,207P
03930207,0,361,98
03930206,1,330,287
03930206,0,330,61A
03930205,1,330,2
03930205,0,28,227
03930205,0,330,51
03930205,0,330,124R
03930205,0,330,129
03930204,1,327,77
03930204,0,313,500
03930204,0,327,18
03930204,0,327,509
03930203,1,327,163
03930203,0,327,141
03930203,0,327,237
03930203,0,327,243
03930203,0,375,371
03930202,1,327,334
03930202,0,327,583
03930201,1,307,106
03930201,0,307,651
03930201,0,310,168
03930201,0,324,207.22
03930201,0,324,207.25
03930201,0,327,141
03930201,0,340,672
03930201,0,340,870.31
03930201,0,341,6
03930200,1,455,145
03930199,1,324,76.62
03930199,0,324,76.48
03930199,0,324,76.82
03930199,0,702,78
03930198,1,324,430
03930198,0,320,132
03930198,0,340,636.15
03930198,0,340,653
03930197,1,322,28
03930197,0,320,DIG15
03930196,1,363,127
03930195,1,363,139
03930195,0,327,473
03930194,1,363,56.07
03930193,1,363,37
03930193,0,219,668
03930192,1,320,119
03930192,0,307,66
03930192,0,320,124
03930191,1,318,376
03930191,0,318,380
03930190,1,318,400.41
03930190,0,318,400.26
03930189,1,318,52
03930189,0,318,144
03930188,1,361,618
03930188,0,218,45
03930188,0,361,624
03930187,1,361,45
03930187,0,324,424
03930186,1,361,24
03930186,0,310,68C
03930186,0,318,471
03930186,0,361,103
03930186,0,374,176
03930185,1,315,368.26
03930185,0,315,368.27
03930185,0,315,370
03930185,0,315,371
03930185,0,348,E09.022
03930184,1,315,241P
03930184,0,315,157
03930184,0,315,245
03930184,0,396,190
03930183,1,315,71
03930183,0,315,75
03930183,0,315,126
03930183,0,315,311
03930183,0,338,219
03930183,0,361,56
03930182,1,315,3.5
03930182,0,315,5.35
03930182,0,315,5.38
03930182,0,315,39.3
03930181,1,313,421
03930181,0,250,396R
03930181,0,313,442
03930180,1,313,417
03930180,0,313,412
03930179,1,313,296
03930179,0,313,301
03930178,1,313,275
03930178,0,313,277
03930178,0,313,315
03930178,0,313,578
03930177,1,313,271
03930177,0,313,279
03930177,0,313,344
03930176,1,313,625
03930176,0,313,40
03930176,0,313,42
03930176,0,313,240
03930176,0,313,318.02
03930175,1,310,160
03930175,0,310,179
03930175,0,310,185
03930175,0,318,147
03930175,0,322,63
03930175,0,322,90
03930175,0,363,174
03930174,1,310,29
03930174,0,198,766
03930173,1,310,26
03930173,0,433,86
03930173,0,433,119
03930172,1,327,540
03930172,0,323,315
03930172,0,327,574
03930172,0,330,199
03930171,1,327,110
03930171,0,327,484
03930171,0,365,196
03930170,1,327,487
03930170,0,327,443
03930169,1,377,107
03930169,0,327,203
03930169,0,327,391
03930169,0,377,28
03930169,0,377,47
03930169,0,377,72
03930169,0,377,104
03930169,0,377,105
03930169,0,377,114
03930169,0,377,117
03930169,0,968,903
03930168,1,290,53
03930168,0,417,331
03930167,1,250,559.39
03930166,1,250,506.1
03930166,0,250,515.1
03930166,0,976,DIG348
03930165,1,378,187
03930164,1,378,170
03930164,0,378,189
03930163,1,250,398
03930163,0,250,427
03930162,1,250,385.1
03930162,0,250,388
03930161,1,250,370.08
03930161,0,250,338.4
03930161,0,257,446
03930161,0,257,459
03930161,0,257,460
03930161,0,257,461
03930161,0,257,466
03930161,0,257,E27.136
03930161,0,257,E31.058
03930160,1,250,361R
03930160,0,250,362
03930160,0,250,368
03930159,1,250,338.1
03930159,0,250,342
03930159,0,374,124
03930159,0,374,179
03930159,0,374,208
03930159,0,374,E01.02
03930159,0,374,E07.006
03930158,1,250,330
03930158,0,250,341.8
03930158,0,396,155
03930157,1,250,330
03930157,0,250,333
03930157,0,250,338.3
03930157,0,313,388
03930156,1,378,28
03930156,0,378,182
03930155,1,850,9
03930155,0,250,288
03930155,0,250,306
03930155,0,850,13
03930155,0,850,14
03930154,1,376,160
03930154,0,250,262
03930154,0,250,269.8
03930154,0,376,191
03930153,1,376,160
03930153,0,250,262
03930153,0,250,269.8
03930152,1,250,269.5
03930151,1,204,258
03930151,0,204,266
03930151,0,204,270
03930151,0,204,278
03930151,0,204,283
03930150,1,250,203.1
03930150,0,250,236
03930150,0,356,391
03930150,0,356,400
03930149,1,362,285
03930149,0,362,293
03930149,0,362,308
03930149,0,362,804
03930148,1,362,228
03930148,0,362,235
03930147,1,708,316
03930147,0,324,76.28
03930147,0,324,76.35
03930147,0,324,76.54
03930147,0,375,350
03930146,1,714,25
03930146,0,379,32.01
03930146,0,714,E11.002
03930146,0,714,E11.025
03930146,0,714,E11.026
03930145,1,702,14
03930145,0,367,79
03930144,1,708,273
03930144,0,377,44
03930144,0,377,45
03930144,0,377,50
03930144,0,702,86
03930143,1,73,179
03930143,0,318,717
03930143,0,340,870.34
03930143,0,701,301
03930143,0,702,86
03930142,1,377,39
03930142,0,377,52
03930142,0,377,55
03930142,0,968,802
03930142,0,968,846
03930141,1,382,104
03930141,0,152,450
03930141,0,152,523
03930141,0,382,273
03930141,0,382,283
03930141,0,382,321
03930140,1,392,501
03930140,0,174,77R
03930140,0,219,523
03930140,0,219,536
03930140,0,338,238
03930140,0,338,272
03930140,0,338,317
03930140,0,392,451
03930139,1,219,146.21
03930139,0,219,75
03930139,0,219,121.52
03930139,0,219,145.21
03930139,0,313,346R
03930138,1,219,126
03930138,0,219,73
03930138,0,219,73.1
03930137,1,219,124.31
03930137,0,228,32
03930137,0,228,45
03930136,1,219,99
03930136,0,219,137R
03930135,1,200,308
03930135,0,116,279
03930134,1,200,82B
03930134,0,91,416
03930134,0,137,625.64
03930134,0,200,83A
03930134,0,218,84
03930133,1,200,47
03930133,0,310,68B
03930133,0,318,475
03930132,1,200,38R
03930132,0,200,38B
03930132,0,335,73
03930131,1,200,35R
03930131,0,200,38R
03930131,0,200,39R
03930131,0,368,97
03930131,0,968,815
03930130,1,181,169
03930129,1,381,432
03930129,0,381,404
03930129,0,381,423
03930128,1,381,174
03930128,0,381,191
03930128,0,381,426
03930127,1,379,282
03930127,0,327,50
03930127,0,330,107
03930126,1,379,195
03930125,1,370,375
03930124,1,370,372
03930124,0,370,376
03930123,1,381,96
03930123,0,340,384.4
03930123,0,381,120
03930123,0,455,345
03930122,1,348,516
03930122,0,331,20
03930122,0,331,172
03930122,0,348,E05.019
03930121,1,375,303
03930121,0,341,68
03930121,0,341,71
03930121,0,375,306
03930120,1,348,206
03930120,0,348,173
03930120,0,348,E03.05
03930119,1,358,494
03930119,0,359,251
03930119,0,359,254
03930118,1,342,190
03930118,0,348,97
03930117,1,369,126
03930117,0,369,61
03930117,0,386,22
03930117,0,386,39
03930117,0,386,E05.023
03930117,0,G9B,9.023
03930116,1,174,66
03930116,0,220,241
03930116,0,439,456
03930115,1,174,559
03930115,0,29,827
03930115,0,174,16.3
03930115,0,174,521
03930115,0,174,536
03930115,0,257,692
03930115,0,257,696
03930115,0,257,730
03930115,0,257,E23.004
03930115,0,257,E23.177
03930115,0,361,760
03930115,0,438,123
03930115,0,438,125
03930115,0,439,70
03930114,1,174,529
03930114,0,29,827
03930114,0,174,16.3
03930114,0,174,532
03930114,0,174,541
03930114,0,174,548
03930114,0,257,675
03930114,0,257,712
03930114,0,257,E21.504
03930114,0,257,E23.047
03930114,0,257,E23.092
03930114,0,264,272.17
03930114,0,438,122
03930114,0,438,124
03930113,1,174,40R
03930113,0,174,9R
03930113,0,174,127
03930113,0,174,130
03930112,1,174,25C
03930112,0,174,17LF
03930112,0,252,570
03930111,1,174,6
03930111,0,439,108
03930111,0,439,207
03930110,1,428,425.1
03930110,0,8,181
03930110,0,8,192
03930110,0,156,62.2
03930110,0,156,307.3
03930110,0,156,331.7
03930110,0,264,123
03930110,0,428,425.3
03930110,0,428,537.1
03930109,1,428,422
03930109,0,427,101
03930109,0,427,305
03930109,0,427,306
03930109,0,427,367
03930109,0,427,371
03930109,0,427,383.1
03930109,0,427,443.1
03930109,0,428,463
03930108,1,503,218
03930108,0,427,151
03930108,0,428,323
03930108,0,549,392
03930107,1,428,407
03930107,0,427,242
03930107,0,427,350
03930107,0,427,393.5
03930107,0,428,905
03930106,1,428,399
03930106,0,428,15
03930106,0,428,85
03930106,0,428,97
03930105,1,428,398
03930105,0,210,500.1
03930105,0,210,500.23
03930105,0,210,500.28
03930105,0,210,500.41
03930105,0,210,505
03930105,0,264,41
03930105,0,264,182
03930104,1,428,379
03930104,0,174,110PM
03930104,0,174,110SR
03930104,0,252,601
03930104,0,428,460
03930104,0,428,461
03930104,0,525,138
03930104,0,525,145
03930104,0,525,480
03930104,0,525,502
03930103,1,428,361
03930103,0,264,1.28
03930103,0,264,1.6
03930103,0,264,210.8
03930103,0,264,291
03930103,0,385,143
03930103,0,385,145
03930103,0,428,373
03930103,0,428,378
03930103,0,428,910
03930103,0,428,918
03930102,1,428,354
03930102,0,156,331.7
03930102,0,428,355N
03930102,0,428,423.7
03930102,0,428,424.8
03930102,0,428,500
03930102,0,428,512
03930102,0,528,56
03930102,0,528,58
03930102,0,528,76
03930102,0,528,905
03930101,1,428,326
03930101,0,427,146
03930101,0,427,201
03930101,0,427,212
03930101,0,428,407
03930101,0,428,526
03930100,1,428,323
03930100,0,404,32
03930100,0,428,63
03930100,0,428,332
03930100,0,428,338
03930100,0,428,491
03930100,0,428,492
03930100,0,428,496
03930100,0,428,521
03930100,0,523,172
03930100,0,524,70
03930100,0,524,71
03930100,0,524,570
03930100,0,524,574
03930100,0,524,575
03930100,0,524,577
03930099,1,428,321.3
03930099,0,400,241.2
03930099,0,427,146
03930099,0,427,152
03930099,0,427,373
03930099,0,427,393.5
03930099,0,427,412.1
03930099,0,427,412.3
03930099,0,428,516
03930099,0,428,522
03930098,1,442,175
03930098,0,26,72
03930098,0,264,166
03930098,0,264,231
03930098,0,264,290.2
03930098,0,264,488
03930098,0,428,364
03930098,0,442,180
03930097,1,442,147
03930097,0,427,331
03930097,0,427,369
03930097,0,427,370
03930097,0,427,371
03930097,0,427,384
03930097,0,428,300.7
03930097,0,428,408
03930097,0,428,473.5
03930097,0,523,222
03930097,0,524,600
03930097,0,528,229
03930096,1,442,38
03930096,0,55,417
03930096,0,137,512.15
03930096,0,137,843
03930096,0,210,504
03930096,0,210,506
03930096,0,428,114
03930096,0,428,198
03930095,1,442,149
03930095,0,156,307.5
03930095,0,156,331.2
03930095,0,156,335
03930095,0,156,910
03930095,0,428,378
03930095,0,428,382
03930095,0,428,383
03930095,0,428,392
03930095,0,428,441
03930095,0,428,494
03930095,0,428,495
03930095,0,428,506
03930095,0,428,521
03930095,0,524,401
03930095,0,524,510
03930095,0,525,135
03930095,0,526,265
03930095,0,526,340
03930094,1,442,365
03930094,0,264,49
03930094,0,264,DIG8
03930094,0,264,DIG47
03930094,0,264,DIG81
03930094,0,428,327
03930094,0,429,42
03930094,0,442,414
03930093,1,428,208
03930093,0,428,434
03930093,0,428,901
03930093,0,501,15
03930093,0,501,19
03930092,1,428,204
03930092,0,101,468
03930092,0,156,240
03930092,0,428,203
03930092,0,428,207
03930092,0,428,212
03930092,0,428,343
03930092,0,428,354
03930092,0,428,914
03930091,1,428,198
03930091,0,139,420R
03930091,0,139,426R
03930091,0,156,148
03930091,0,156,181
03930091,0,428,210
03930091,0,442,187
03930091,0,442,208
03930090,1,428,196
03930090,0,2,76
03930090,0,2,221
03930090,0,2,237
03930090,0,428,447
03930089,1,428,212
03930089,0,156,62.2
03930089,0,264,123
03930089,0,428,323
03930089,0,428,326
03930089,0,428,407
03930089,0,428,524
03930089,0,524,15
03930088,1,428,143
03930088,0,428,15
03930088,0,428,323
03930088,0,442,16
03930088,0,442,27
03930088,0,442,38
03930087,1,442,107
03930087,0,8,185
03930087,0,428,524
03930087,0,428,526
03930086,1,428,131
03930086,0,8,115.56
03930086,0,28,105
03930086,0,206,.5
03930086,0,428,369
03930085,1,428,116
03930085,0,156,286
03930085,0,156,307.5
03930085,0,427,244
03930085,0,427,307
03930085,0,427,379
03930085,0,427,443.2
03930085,0,428,312.6
03930085,0,428,312.8
03930085,0,428,317.9
03930085,0,428,319.1
03930085,0,428,319.3
03930085,0,428,333
03930084,1,428,67
03930084,0,52,660
03930084,0,156,298
03930084,0,156,303.1
03930084,0,296,97.23
03930084,0,428,138
03930083,1,428,67
03930083,0,156,293
03930083,0,156,303.1
03930083,0,200,5A
03930083,0,200,5R
03930083,0,200,302.2
03930083,0,200,511
03930083,0,428,138
03930082,1,442,38
03930082,0,156,257
03930082,0,428,212
03930082,0,428,337
03930082,0,442,150
03930081,1,205,85
03930081,0,106,1.25
03930081,0,106,1.26
03930081,0,427,328
03930081,0,427,383.7
03930081,0,427,405
03930081,0,427,421.1
03930081,0,427,436
03930080,1,427,411
03930080,0,162,138
03930080,0,252,500
03930080,0,427,121
03930080,0,428,704
03930079,1,427,396
03930079,0,8,127.1
03930079,0,8,191
03930079,0,8,195
03930079,0,106,18.17
03930079,0,106,18.18
03930079,0,106,18.2
03930079,0,106,18.21
03930079,0,442,143
03930078,1,427,388.1
03930078,0,427,385.5
03930078,0,428,411.1
03930078,0,428,426
03930078,0,428,457
03930078,0,428,704
03930077,1,427,384
03930077,0,131,332
03930077,0,131,341
03930077,0,131,343
03930077,0,427,296
03930076,1,427,353
03930076,0,427,2.29
03930076,0,427,307
03930076,0,427,372.2
03930076,0,427,393.5
03930076,0,427,397.7
03930076,0,428,520
03930075,1,427,349
03930075,0,118,63
03930075,0,427,433
03930075,0,427,434.2
03930075,0,427,436
03930074,1,427,341
03930074,0,427,302
03930074,0,427,303
03930074,0,427,342
03930074,0,428,514
03930074,0,442,63
03930074,0,524,28
03930074,0,524,45
03930073,1,427,341
03930073,0,427,302
03930073,0,427,303
03930073,0,427,342
03930073,0,428,514
03930073,0,442,63
03930073,0,524,28
03930073,0,524,45
03930072,1,427,99.5
03930072,0,106,1.05
03930072,0,106,1.26
03930072,0,427,306
03930071,1,427,203
03930071,0,165,9
03930071,0,264,135
03930071,0,277,404
03930071,0,427,290
03930071,0,427,370
03930071,0,427,405
03930071,0,427,409
03930071,0,427,456
03930071,0,428,450
03930071,0,428,698
03930070,1,427,185
03930070,0,427,195
03930070,0,427,201
03930070,0,428,324
03930070,0,428,325
03930070,0,428,473.5
03930070,0,428,474.7
03930069,1,427,142
03930069,0,427,208.6
03930069,0,427,282
03930069,0,427,285
03930069,0,427,287
03930069,0,427,331
03930069,0,427,372.2
03930068,1,427,140
03930068,0,106,33
03930068,0,106,169.37
03930068,0,138,99
03930068,0,156,94
03930068,0,264,36.15
03930068,0,264,36.22
03930068,0,427,142
03930067,1,438,488
03930067,0,148,DIG25
03930067,0,148,DIG122
03930067,0,427,122
03930067,0,438,684
03930067,0,438,764
03930066,1,427,79
03930066,0,307,400
03930066,0,427,551
03930066,0,428,422
03930065,1,438,587
03930065,0,148,DIG143
03930065,0,257,249
03930065,0,257,E21.617
03930065,0,257,E23.015
03930065,0,257,E29.239
03930065,0,427,79
03930065,0,427,259
03930065,0,427,307
03930065,0,438,944
03930065,0,438,981
03930064,1,427,492
03930064,0,427,385.5
03930064,0,427,508
03930064,0,522,4
03930064,0,522,129
03930064,0,522,913
03930063,1,427,9
03930063,0,73,150R
03930063,0,106,31.15
03930063,0,106,36
03930063,0,106,287.34
03930063,0,106,287.35
03930063,0,252,301.16
03930063,0,252,408.1
03930063,0,252,965
03930063,0,427,8
03930063,0,427,10
03930063,0,427,157
03930063,0,427,158
03930063,0,427,553
03930063,0,427,557
03930062,1,427,475
03930062,0,427,376.5
03930062,0,427,485
03930062,0,501,20
03930062,0,501,77
03930061,1,427,483
03930061,0,239,3
03930061,0,264,309
03930061,0,264,439
03930061,0,264,460
03930061,0,264,483
03930061,0,427,196
03930061,0,427,426
03930061,0,427,477
03930060,1,427,594
03930060,0,148,242
03930060,0,427,399
03930060,0,427,431
03930060,0,427,435
